ts,src_ip,dst_ip,pck_len
1615346827.847626,2883,5146,60
1615346827.9980712,276,5183,60
1615346828.057119,276,5346,60
1615346828.119792,276,5157,60
1615346828.319641,276,5165,60
1615346829.062757,912,5294,60
1615346829.2433429,276,5175,60
1615346829.430246,276,5269,60
1615346829.444698,276,5280,60
1615346829.840394,276,5285,60
1615346830.031018,276,5209,60
1615346830.2856538,276,5332,60
1615346830.342657,276,5173,60
1615346830.8282561,276,5301,60
1615346830.924484,276,5302,60
1615346830.96242,276,5340,60
1615346831.050827,276,5178,60
1615346831.1234882,276,5113,60
1615346831.192507,276,5247,60
1615346831.209441,276,5219,60
1615346831.375659,276,5212,60
1615346831.696515,276,5220,60
1615346832.8297222,276,5294,60
1615346833.014219,276,5299,60
1615346833.678009,276,5160,60
1615346834.184505,276,5288,60
1615346834.243036,276,5271,60
1615346834.246744,276,5134,60
1615346834.29929,276,5201,60
1615346834.928205,276,5327,60
1615346835.161349,276,5273,60
1615346835.201916,276,5331,60
1615346835.283775,276,5213,60
1615346835.518451,276,5259,60
1615346835.5724108,276,5141,60
1615346835.757576,276,5307,60
1615346879.121166,1256,5235,60
