ts,src_ip,src_port,dst_ip,dst_port,pck_len,tcp_flags
1615345522.626125,426,47394.0,5142,992.0,60,2.0
1615345522.6271741,614,51573.0,5186,7410.0,60,2.0
1615345522.635648,642,45199.0,5234,7381.0,60,2.0
1615345522.6704311,2410,38929.0,5163,445.0,66,2.0
1615345522.748775,2804,34931.0,5179,993.0,60,2.0
1615345523.012551,1542,18639.0,5145,1200.0,60,2.0
1615345523.1060631,1415,48113.0,5326,9534.0,60,2.0
1615345523.126153,614,51573.0,5324,45676.0,60,2.0
1615345523.242009,3320,17642.0,5191,5984.0,60,2.0
1615345523.2732599,426,47394.0,5270,2472.0,60,2.0
1615345523.278789,1826,50481.0,5210,33892.0,60,2.0
1615345523.289781,426,47394.0,5264,655.0,60,2.0
1615345523.310724,1407,30486.0,5227,9843.0,60,2.0
1615345523.373393,705,45074.0,5291,5559.0,60,2.0
1615345523.383271,640,47186.0,5172,1392.0,60,2.0
1615345523.411158,614,51573.0,5324,3396.0,60,2.0
1615345523.550646,1387,4353.0,5348,9339.0,60,2.0
1615345523.556256,274,64958.0,5346,1433.0,66,2.0
1615345523.659933,4123,48801.0,5329,17990.0,60,2.0
1615345523.731812,614,51573.0,5301,45926.0,60,2.0
1615345523.793582,614,51573.0,5113,7784.0,60,2.0
1615345523.887724,4636,39464.0,5225,54399.0,60,2.0
1615345523.9383788,426,47394.0,5108,818.0,60,2.0
1615345523.972439,1854,39500.0,5197,2004.0,74,2.0
1615345524.066209,3570,27347.0,5237,23.0,60,2.0
1615345524.115467,1375,6939.0,5251,16992.0,60,2.0
1615345524.207123,4160,56055.0,5245,3389.0,60,2.0
1615345524.264872,3311,18426.0,5121,990.0,60,2.0
1615345524.338312,274,53971.0,5315,1433.0,66,2.0
1615345524.4847732,1249,6861.0,5158,110.0,60,2.0
1615345524.490033,1826,50481.0,5326,33892.0,60,2.0
1615345524.766242,2334,37201.0,5175,23.0,60,2.0
1615345524.800682,274,54691.0,5288,1433.0,66,2.0
