ts,src_ip,src_port,dst_ip,dst_port,pck_len,user,num_attack,first_port_scan,ip_diff,port_diff,range_ip,range_port,ip_medium,ip_std,port_medium,port_std,pck_medium,pck_std
1615346627.1036801,1474,5143.0,5285,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.103879,1474,5143.0,5287,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1039689,1474,5143.0,5288,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.103982,1474,5143.0,5289,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.104065,1474,5143.0,5290,54973.0,455,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.104307,1474,5143.0,5291,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1043134,1474,5143.0,5292,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.104417,1474,5143.0,5293,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1045198,1474,5143.0,5294,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.104651,1474,5143.0,5295,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.104727,1474,5143.0,5296,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.104894,1474,5143.0,5297,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105006,1474,5143.0,5298,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105133,1474,5143.0,5299,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105201,1474,5143.0,5300,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105336,1474,5143.0,5301,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105449,1474,5143.0,5302,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105564,1474,5143.0,5303,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105619,1474,5143.0,5304,54973.0,459,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105647,1474,5143.0,5305,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105911,1474,5143.0,5306,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.105943,1474,5143.0,5307,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
